year,month,day,dep_time,sched_dep_time,dep_delay,arr_time,sched_arr_time,arr_delay,carrier,flight,tailnum,origin,dest,air_time,distance,hour,minute,time_hour
2013,1,1,558,600,-2,924,917,7,UA,194,N29129,JFK,LAX,345,2475,6,0,1/1/13 6:00
2013,1,1,628,630,-2,1016,947,29,UA,1665,N33289,EWR,LAX,366,2454,6,30,1/1/13 6:00
2013,1,1,658,700,-2,1027,1025,2,VX,399,N627VA,JFK,LAX,361,2475,7,0,1/1/13 7:00
2013,1,1,702,700,2,1058,1014,44,B6,671,N779JB,JFK,LAX,381,2475,7,0,1/1/13 7:00
2013,1,1,743,730,13,1107,1100,7,AA,33,N338AA,JFK,LAX,358,2475,7,30,1/1/13 7:00
2013,1,1,828,823,5,1150,1143,7,UA,1506,N76528,EWR,LAX,359,2454,8,23,1/1/13 8:00
2013,1,1,829,830,-1,1152,1200,-8,UA,443,N554UA,JFK,LAX,360,2475,8,30,1/1/13 8:00
2013,1,1,856,900,-4,1226,1220,6,AA,1,N324AA,JFK,LAX,358,2475,9,0,1/1/13 9:00
2013,1,1,859,900,-1,1223,1225,-2,VX,407,N846VA,JFK,LAX,359,2475,9,0,1/1/13 9:00
2013,1,1,921,900,21,1237,1227,10,DL,120,N713TW,JFK,LAX,333,2475,9,0,1/1/13 9:00
2013,1,1,941,945,-4,1300,1258,2,B6,679,N806JB,JFK,LAX,352,2475,9,45,1/1/13 9:00
2013,1,1,953,921,32,1320,1241,39,UA,222,N586UA,EWR,LAX,346,2454,9,21,1/1/13 9:00
2013,1,1,1026,1030,-4,1351,1340,11,AA,19,N328AA,JFK,LAX,356,2475,10,30,1/1/13 10:00
2013,1,1,1127,1130,-3,1504,1448,16,UA,703,N518UA,JFK,LAX,357,2475,11,30,1/1/13 11:00
2013,1,1,1133,1130,3,1448,1450,-2,VX,409,N839VA,JFK,LAX,347,2475,11,30,1/1/13 11:00
2013,1,1,1153,1200,-7,1450,1529,-39,DL,863,N712TW,JFK,LAX,330,2475,12,0,1/1/13 12:00
2013,1,1,1155,1200,-5,1517,1510,7,AA,3,N322AA,JFK,LAX,353,2475,12,0,1/1/13 12:00
2013,1,1,1320,1320,0,1625,1636,-11,UA,1425,N58101,EWR,LAX,334,2454,13,20,1/1/13 13:00
2013,1,1,1327,1330,-3,1638,1655,-17,VX,411,N642VA,JFK,LAX,352,2475,13,30,1/1/13 13:00
2013,1,1,1337,1220,77,1649,1531,78,B6,673,N636JB,JFK,LAX,352,2475,12,20,1/1/13 12:00
2013,1,1,1341,1345,-4,1709,1705,4,AA,117,N339AA,JFK,LAX,362,2475,13,45,1/1/13 13:00
2013,1,1,1454,1500,-6,1815,1837,-22,DL,1467,N702TW,JFK,LAX,340,2475,15,0,1/1/13 15:00
2013,1,1,1522,1530,-8,1858,1855,3,UA,530,N512UA,JFK,LAX,356,2475,15,30,1/1/13 15:00
2013,1,1,1523,1516,7,1831,1828,3,UA,1600,N18112,EWR,LAX,337,2454,15,16,1/1/13 15:00
2013,1,1,1539,1545,-6,1853,1910,-17,AA,133,N319AA,JFK,LAX,351,2475,15,45,1/1/13 15:00
2013,1,1,1626,1630,-4,2007,1952,15,B6,675,N804JB,JFK,LAX,370,2475,16,30,1/1/13 16:00
2013,1,1,1655,1655,0,2025,2030,-5,VX,413,N626VA,JFK,LAX,362,2475,16,55,1/1/13 16:00
2013,1,1,1707,1700,7,2006,2000,6,UA,342,N543UA,EWR,LAX,334,2454,17,0,1/1/13 17:00
2013,1,1,1720,1725,-5,2121,2105,16,DL,513,N723TW,JFK,LAX,363,2475,17,25,1/1/13 17:00
2013,1,1,1750,1750,0,2109,2115,-6,UA,535,N525UA,JFK,LAX,345,2475,17,50,1/1/13 17:00
2013,1,1,1802,1801,1,2125,2137,-12,UA,1165,N75429,EWR,LAX,340,2454,18,1,1/1/13 18:00
2013,1,1,1820,1820,0,2216,2150,26,AA,119,N3FMAA,EWR,LAX,366,2454,18,20,1/1/13 18:00
2013,1,1,1856,1645,131,2212,2005,127,AA,181,N323AA,JFK,LAX,336,2475,16,45,1/1/13 16:00
2013,1,1,1925,1900,25,2259,2238,21,DL,87,N624AG,JFK,LAX,332,2475,19,0,1/1/13 19:00
2013,1,1,1937,1905,32,2250,2225,25,AA,21,N327AA,JFK,LAX,332,2475,19,5,1/1/13 19:00
2013,1,1,1952,2000,-8,2314,2325,-11,VX,415,N640VA,JFK,LAX,349,2475,20,0,1/1/13 20:00
2013,1,1,2035,2030,5,2337,5,-28,UA,1482,N38268,EWR,LAX,333,2454,20,30,1/1/13 20:00
2013,1,1,2107,2040,27,2354,2359,-5,B6,677,N779JB,JFK,LAX,323,2475,20,40,1/1/13 20:00
2013,1,1,2128,2135,-7,26,50,-24,AA,185,N338AA,JFK,LAX,338,2475,21,35,1/1/13 21:00
2013,1,2,603,559,4,912,916,-4,UA,1676,N17229,EWR,LAX,341,2454,5,59,1/2/13 5:00
2013,1,2,616,600,16,1001,917,44,UA,1141,N19141,JFK,LAX,354,2475,6,0,1/2/13 6:00
2013,1,2,632,630,2,941,940,1,UA,387,N521UA,EWR,LAX,325,2454,6,30,1/2/13 6:00
2013,1,2,655,700,-5,1031,1034,-3,DL,763,N705TW,JFK,LAX,317,2475,7,0,1/2/13 7:00
2013,1,2,659,700,-1,959,1025,-26,VX,399,N626VA,JFK,LAX,330,2475,7,0,1/2/13 7:00
2013,1,2,709,700,9,1006,1014,-8,B6,671,N583JB,JFK,LAX,327,2475,7,0,1/2/13 7:00
2013,1,2,732,730,2,1105,1100,5,AA,33,N322AA,JFK,LAX,351,2475,7,30,1/2/13 7:00
2013,1,2,822,823,-1,1142,1143,-1,UA,1067,N73259,EWR,LAX,343,2454,8,23,1/2/13 8:00
2013,1,2,829,830,-1,1154,1200,-6,UA,572,N525UA,JFK,LAX,340,2475,8,30,1/2/13 8:00
2013,1,2,855,900,-5,1225,1220,5,AA,1,N336AA,JFK,LAX,336,2475,9,0,1/2/13 9:00
2013,1,2,857,900,-3,1130,1227,-57,DL,120,N710TW,JFK,LAX,310,2475,9,0,1/2/13 9:00
2013,1,2,859,857,2,1205,1217,-12,UA,222,N577UA,EWR,LAX,330,2454,8,57,1/2/13 8:00
2013,1,2,903,900,3,1218,1225,-7,VX,407,N624VA,JFK,LAX,338,2475,9,0,1/2/13 9:00
2013,1,2,1004,945,19,1251,1258,-7,B6,679,N706JB,JFK,LAX,326,2475,9,45,1/2/13 9:00
2013,1,2,1038,1030,8,1347,1340,7,AA,19,N328AA,JFK,LAX,344,2475,10,30,1/2/13 10:00
2013,1,2,1125,1130,-5,1416,1448,-32,UA,703,N510UA,JFK,LAX,332,2475,11,30,1/2/13 11:00
2013,1,2,1131,1130,1,1436,1450,-14,VX,409,N627VA,JFK,LAX,341,2475,11,30,1/2/13 11:00
2013,1,2,1156,1200,-4,1509,1529,-20,DL,863,N624AG,JFK,LAX,348,2475,12,0,1/2/13 12:00
2013,1,2,1204,1200,4,1511,1510,1,AA,3,N319AA,JFK,LAX,341,2475,12,0,1/2/13 12:00
2013,1,2,1216,1220,-4,1520,1531,-11,B6,673,N796JB,JFK,LAX,337,2475,12,20,1/2/13 12:00
2013,1,2,1318,1320,-2,1634,1636,-2,UA,1425,N12125,EWR,LAX,340,2454,13,20,1/2/13 13:00
2013,1,2,1326,1330,-4,1650,1655,-5,VX,411,N635VA,JFK,LAX,361,2475,13,30,1/2/13 13:00
2013,1,2,1341,1345,-4,1648,1705,-17,AA,117,N332AA,JFK,LAX,344,2475,13,45,1/2/13 13:00
2013,1,2,1500,1500,0,1811,1837,-26,DL,1467,N718TW,JFK,LAX,341,2475,15,0,1/2/13 15:00
2013,1,2,1519,1516,3,1833,1828,5,UA,1600,N14107,EWR,LAX,346,2454,15,16,1/2/13 15:00
2013,1,2,1525,1530,-5,1832,1855,-23,UA,530,N532UA,JFK,LAX,341,2475,15,30,1/2/13 15:00
2013,1,2,1627,1630,-3,1927,1952,-25,B6,675,N779JB,JFK,LAX,321,2475,16,30,1/2/13 16:00
2013,1,2,1655,1655,0,1955,2030,-35,VX,413,N841VA,JFK,LAX,330,2475,16,55,1/2/13 16:00
2013,1,2,1713,1700,13,2007,2000,7,UA,342,N597UA,EWR,LAX,332,2454,17,0,1/2/13 17:00
2013,1,2,1717,1645,32,2033,2005,28,AA,181,N338AA,JFK,LAX,335,2475,16,45,1/2/13 16:00
2013,1,2,1724,1725,-1,2116,2105,11,DL,513,N712TW,JFK,LAX,381,2475,17,25,1/2/13 17:00
2013,1,2,1746,1750,-4,2043,2115,-32,UA,535,N512UA,JFK,LAX,325,2475,17,50,1/2/13 17:00
2013,1,2,1806,1801,5,2140,2137,3,UA,1209,N12116,EWR,LAX,341,2454,18,1,1/2/13 18:00
2013,1,2,1848,1820,28,2208,2150,18,AA,119,N3DNAA,EWR,LAX,349,2454,18,20,1/2/13 18:00
