default	credit.policy	installment	log.annual.inc	fico	inq.last.6mths	revol.bal	Validation
0	1	228.22	11.0821426	707	0	33623	1
0	1	366.86	10.3734912	682	1	3511	1
0	1	84.12	10.2035921	707	1	5630	1
0	1	253.58	11.835009	662	2	5122	1
0	1	188.02	11.2252434	772	1	29797	1
0	1	255.43	9.99879773	662	0	4175	1
0	1	155.38	11.4616322	772	0	3660	1
0	1	167.02	11.2118204	797	0	6844	1
0	1	323.98	10.217422	712	0	3534	1
0	1	401.37	11.2252434	682	3	43039	1
0	1	205.45	11.0020998	712	0	3362	1
0	1	155.38	10.5966347	772	2	2562	1
0	1	99.44	10.4955152	667	2	1064	1
0	1	109.79	11.4927228	752	0	6432	1
0	1	156.11	12.3238557	752	1	2160	1
0	1	257.99	10.7789563	722	3	11289	1
1	1	225.37	12.2690474	677	0	56411	1
1	1	80.26	11.2252434	772	3	269	1
1	1	84	10.3734912	682	1	3408	1
1	1	507.46	10.5966347	712	3	6513	1
0	1	63.32	11.1562505	712	1	5967	1
0	1	444.05	11.0020998	667	2	33074	1
0	1	297.99	11.05089	792	1	40384	1
0	1	329.95	12.3238557	727	2	107501	1
0	1	239.65	11.4403548	792	3	128000	1
0	1	61.87	11.6784399	772	0	4709	1
0	1	313.67	11.9183906	792	0	37152	1
0	1	210.6	10.7144178	692	0	5607	1
0	1	323.99	11.695247	722	1	56740	1
0	1	117.31	11.695247	772	1	0	1
0	1	699.69	11.4295439	667	1	4569	1
0	1	295.59	10.3859137	747	0	14345	1
0	1	217.59	10.8197783	707	1	113	1
0	1	194.4	11.3771057	692	0	16813	1
0	1	217.59	10.9525594	682	0	11490	1
0	1	328.43	10.3089527	742	3	0	1
1	1	166.48	9.21034037	662	2	875	1
0	1	284.32	11.3504065	667	3	1196	1
0	1	138.51	10.3417425	767	2	6752	1
1	1	70.25	9.43348392	662	1	458	1
0	1	404.62	10.7517778	692	2	8332	1
0	1	265.18	10.858999	667	1	5867	1
0	1	802.47	11.2644641	732	1	10605	1
0	1	227.82	11.0587952	682	1	14930	1
0	1	96.75	11.0348897	682	0	12640	1
0	1	155.52	10.4631033	687	0	5836	1
0	1	790.86	11.0020998	767	0	916	1
0	1	294.27	11.2897819	677	0	7570	1
0	1	404.62	11.2897819	687	0	13126	1
0	1	178.68	11.4616322	812	0	50	1
0	1	417.62	11.4295439	712	1	2598	1
0	1	130.18	11.0348897	682	2	18168	1
0	1	98.53	10.4013495	682	2	24218	1
0	1	15.69	9.79812704	722	0	0	1
0	1	523.14	12.2060727	697	1	72303	1
0	1	93.23	11.1844214	757	5	12430	1
0	1	599.33	11.6104514	682	1	18076	1
1	1	132.35	10.2035921	702	1	4504	1
0	1	604.88	10.858999	707	0	32438	1
0	1	538.23	10.9313197	747	2	20380	1
0	1	172.55	10.6454249	707	0	38054	1
0	1	335.98	10.9818971	662	3	7251	1
1	1	93.23	10.7144178	692	1	88	1
0	1	95.87	10.5078035	697	2	1492	1
1	1	859.07	11.2897819	682	3	30946	1
0	1	586.9	11.2252434	697	1	23391	1
0	1	232.04	10.8277465	672	3	6718	1
0	1	836.23	11.2754548	692	0	6530	1
0	1	124.89	10.0858091	752	0	2666	1
1	1	817.41	11.1982147	737	1	3472	1
0	1	575.17	11.0020998	732	1	6703	1
0	1	167.99	10.1456491	662	0	5061	1
0	1	281.2	10.1266311	712	0	0	1
0	1	505.16	11.6172855	687	0	46525	1
1	1	319.54	10.5050675	727	2	827	1
0	1	87.01	10.2879333	767	1	1773	1
1	1	62.45	10.0858091	742	1	949	1
0	1	656.86	10.559867	702	3	21777	1
0	1	320.99	10.1250298	712	0	4475	1
0	1	292.91	10.1627702	682	2	6353	1
0	1	383.45	11.1366307	717	0	11370	1
0	1	143.53	9.99879773	707	0	5967	1
0	1	381.66	11.695247	722	1	7335	1
0	1	83.92	10.5966347	737	0	19210	1
0	1	77.69	13.1654229	762	5	141287	1
0	1	67.68	9.79812704	662	3	1042	1
1	1	406.07	10.2035921	662	1	137	1
0	1	293.85	9.39266193	737	1	0	1
0	1	217.52	11.0020998	807	1	3202	1
0	1	421.14	10.5966347	752	2	35944	1
0	1	365.51	11.0020998	702	0	7973	1
1	1	701.12	10.7789563	682	1	639	1
0	1	485	11.3884501	732	0	14903	1
0	1	133.55	10.5965347	662	3	2923	1
0	1	62.15	11.1271453	767	1	2475	1
0	1	327.82	10.6334487	702	0	15368	1
1	1	69.14	11.695247	762	1	21521	1
0	1	329.34	11.2709049	692	3	8473	1
0	1	292.97	10.727663	677	1	8494	1
1	1	225.86	11.0219025	762	4	9366	1
1	1	536.57	11.4208102	677	0	23129	1
0	1	97	10.7789563	692	0	0	1
0	1	124.89	10.9612779	767	0	2325	1
